"name","latitude","longitude","rating","rating_count"
"Eye Travel Taiwan 台中市","24.14958399999999","120.644069","4.9","76"
"Wenli Boulevard 台中市","34.627082","112.6019635","0","0"
"興大園道阿勃勒黃金步道 台中市","24.1238149","120.6795003","4.7","30"
"Calligraphy Greenway 台中市","24.1484004","120.66477","4.4","8470"
"種子日晷 台中市","24.20804","120.5978257","4.6","24"
"Taiwan Connection 1908 台中市","24.1354544","120.6821701","4.6","968"
"Kangqiao Riverside Park 台中市","24.1170706","120.6753513","4.5","442"
"An eco lifestyle 台中市","24.2159314","120.6705875","4.5","10908"
"Taichung Park Pavilion 台中市","24.1436703","120.6842032","4.4","3087"
"親子部落-月老祠 ","24.2299454","120.6009186","4.4","79"
