name,latitude,longitude,rating,rating_count
Pafe'lien 帕芙莉手作食堂,23.5020545,121.3774023,4.9,1212
花蓮牛山【看見美See the beauty】餐飲,23.7670016,121.5630548,4.8,476
池上豐禾日麗 文田館,23.1290057,121.2183397,4.8,340
王記 鬼頭刀專賣店,23.1029493,121.3776888,4.7,2686
馨家小廚,23.3179063,121.4560223,4.7,735
星馬茶餐廳｜南洋咖哩｜玉里美食,23.3324454,121.3178433,4.6,404
小麗廚房,23.2438294,121.4147099,4.5,756
卡滋爾鬼頭刀特色美食,23.1041599,121.3784433,4.4,893
Min Yue Shitang Restaurant,23.7566231,121.4545605,4.4,644
Ming Lai restaurant,23.3967798,121.477723,4.4,317
紅瓦屋老地方文化美食餐廳,23.6876149,121.4827798,4.1,1437
,,,,
,,,,
"[0, '61.6 km', '50.4 km', '61.4 km', '42.4 km', '23.5 km', '43.8 km', '61.3 km', '32.4 km', '33.1 km']",,,,
"['61.5 km', 0, '108 km', '86.8 km', '59.0 km', '90.1 km', '69.2 km', '86.6 km', '48.0 km', '49.7 km']",,,,
"['50.4 km', '108 km', 0, '57.8 km', '49.1 km', '28.7 km', '40.2 km', '57.7 km', '82.5 km', '58.6 km']",,,,
"['61.4 km', '86.8 km', '57.8 km', 0, '27.6 km', '39.7 km', '18.0 km', '0.2 km', '93.5 km', '37.1 km']",,,,
"['42.4 km', '59.0 km', '49.1 km', '27.6 km', 0, '30.9 km', '10.0 km', '27.4 km', '67.1 km', '9.2 km']",,,,
"['23.5 km', '90.1 km', '28.6 km', '39.6 km', '30.9 km', 0, '22.0 km', '39.5 km', '55.2 km', '40.4 km']",,,,
"['43.8 km', '69.2 km', '40.2 km', '18.0 km', '10.0 km', '22.0 km', 0, '17.8 km', '75.9 km', '19.5 km']",,,,
"['61.3 km', '86.6 km', '57.7 km', '0.3 km', '27.4 km', '39.5 km', '17.8 km', 0, '93.4 km', '36.9 km']",,,,
"['32.3 km', '47.8 km', '82.5 km', '93.5 km', '67.0 km', '55.0 km', '75.8 km', '93.3 km', 0, '57.8 km']",,,,
"['33.1 km', '49.8 km', '58.6 km', '37.1 km', '9.2 km', '40.4 km', '19.4 km', '36.9 km', '57.9 km', 0]",,,,
