name,latitude,longitude,rating,rating_count
Ch'ing-shui Cliff,24.2188889,121.6930556,4.7,1211
康樂泊區,24.0601728,121.6160707,4.6,379
Aohua Waterfall,24.3530211,121.7382356,4.6,866
七星潭賞星廣場,24.0318338,121.627265,4.5,540
Taroko National Park Boundary Marker,24.2319572,121.7072675,4.5,613
崇德礫灘,24.167748,121.6578095,4.5,1863
Shei-Pa National Park Boundary Marker - Wuling,24.3476578,121.3198157,4.4,510
Taipingyang Park,23.9663889,121.6091667,4.4,9835
遠雄海洋公園,23.90145085,121.6038367,4.4,23989
松園別館,23.98293781,121.6159444,4.2,12142
,,,,
,,,,
"[0, '42.2 km', '18.5 km', '46.8 km', '2.3 km', '27.4 km', '152 km', '54.8 km', '64.0 km', '51.7 km']",,,,
"['22.9 km', 0, '41.4 km', '5.0 km', '25.2 km', '15.6 km', '175 km', '13.0 km', '22.1 km', '10.3 km']",,,,
"['34.7 km', '41.3 km', 0, '46.0 km', '37.0 km', '26.6 km', '145 km', '54.0 km', '63.1 km', '50.9 km']",,,,
"['26.2 km', '3.6 km', '44.7 km', 0, '28.5 km', '18.9 km', '179 km', '12.0 km', '21.1 km', '9.3 km']",,,,
"['33.2 km', '39.9 km', '16.2 km', '44.5 km', 0, '25.1 km', '150 km', '52.5 km', '61.6 km', '49.4 km']",,,,
"['8.1 km', '15.5 km', '26.6 km', '20.2 km', '10.4 km', 0, '161 km', '28.2 km', '37.3 km', '25.1 km']",,,,
"['168 km', '175 km', '144 km', '180 km', '171 km', '160 km', 0, '188 km', '197 km', '184 km']",,,,
"['35.5 km', '12.9 km', '54.0 km', '9.3 km', '37.8 km', '28.2 km', '188 km', 0, '9.2 km', '2.6 km']",,,,
"['45.1 km', '22.6 km', '63.7 km', '19.0 km', '47.5 km', '37.9 km', '198 km', '9.7 km', 0, '12.2 km']",,,,
"['32.3 km', '11.4 km', '50.8 km', '7.8 km', '34.6 km', '25.0 km', '185 km', '2.6 km', '11.8 km', 0]",,,,
