name,latitude,longitude,rating,rating_count
Bai Sha Tan Thai Restaurant,21.9438321,120.8014118,4.4,1344
鹿兒愛野餐,21.9997673,120.7479476,4.8,560
找食小賣所（無預約訂位，開收店以現場狀況為主）,21.9987828,120.7427261,4.8,303
Jia Hong Izakaya Restaurant,21.9989816,120.7413696,4.8,1002
星悅小城,21.999962,120.754432,4.7,625
【珍饌庭園餐廳】,21.944397,120.799366,4.7,397
O2 Deli 丹邒旗艦店 早餐 午餐 晚餐 下午茶 飲料 餐廳,22.0091374,120.7470647,4.7,666
庄仔內灶腳台泰私房美食坊,21.983184,120.752772,4.6,808
興丼壽司,22.00583923,120.7439192,4.4,1585
鄉村冬粉鴨,22.00293462,120.7432755,3.8,3279
,,,,
,,,,
"[0, '9.8 km', '9.7 km', '9.7 km', '10.2 km', '0.3 km', '11.6 km', '7.8 km', '10.6 km', '10.4 km']",,,,
"['9.8 km', 0, '0.7 km', '0.9 km', '1.3 km', '10.0 km', '1.3 km', '2.4 km', '1.2 km', '1.2 km']",,,,
"['9.7 km', '0.7 km', 0, '0.5 km', '1.9 km', '9.9 km', '2.1 km', '2.3 km', '0.9 km', '0.7 km']",,,,
"['10.6 km', '1.6 km', '0.9 km', 0, '2.4 km', '10.7 km', '2.0 km', '3.2 km', '0.9 km', '0.7 km']",,,,
"['10.3 km', '1.3 km', '1.9 km', '2.6 km', 0, '10.4 km', '1.4 km', '2.8 km', '1.6 km', '1.6 km']",,,,
"['0.3 km', '10.0 km', '9.8 km', '9.8 km', '10.4 km', 0, '11.8 km', '7.9 km', '10.7 km', '10.5 km']",,,,
"['11.7 km', '1.3 km', '2.0 km', '2.4 km', '1.4 km', '11.8 km', 0, '4.2 km', '1.0 km', '1.1 km']",,,,
"['7.8 km', '2.4 km', '2.3 km', '2.2 km', '2.8 km', '7.9 km', '4.2 km', 0, '3.1 km', '3.0 km']",,,,
"['10.6 km', '1.2 km', '0.9 km', '1.4 km', '1.6 km', '10.7 km', '1.0 km', '3.1 km', 0, '0.1 km']",,,,
"['10.4 km', '1.1 km', '0.7 km', '1.2 km', '1.6 km', '10.6 km', '0.9 km', '3.0 km', '0.1 km', 0]",,,,
