name,latitude,longitude,rating,rating_count
旭海美景,22.1853327,120.8915292,4.8,1209
Mudan Bay,22.195509,120.8906129,4.6,517
Longpan Park,21.9272344,120.8479628,4.6,10113
Fengchuisha,21.9472854,120.8388886,4.5,2923
Shuangliu Waterfall Trail,22.2185363,120.8063848,4.5,1203
星砂灣,21.94354,120.7449117,4.4,3001
Checheng Guishan Trail,22.0497883,120.7038453,4.4,1579
Sichongxi Hot Springs Park,22.0939869,120.7460812,4.4,9139
Southernmost Point of Taiwan,21.8976373,120.8578766,4.3,5496
鹿境梅花鹿生態園區,22.01264329,120.7428357,4.4,18537
,,,,
,,,,
"[0, '1.4 km', '42.8 km', '40.0 km', '30.6 km', '48.2 km', '38.2 km', '29.9 km', '46.4 km', '40.1 km']",,,,
"['1.4 km', 0, '44.2 km', '41.4 km', '29.6 km', '49.7 km', '37.3 km', '29.0 km', '47.8 km', '39.5 km']",,,,
"['42.8 km', '44.2 km', 0, '2.8 km', '56.0 km', '22.0 km', '27.4 km', '31.0 km', '3.6 km', '20.3 km']",,,,
"['40.0 km', '41.4 km', '2.8 km', 0, '53.2 km', '24.7 km', '24.7 km', '28.3 km', '6.4 km', '17.5 km']",,,,
"['30.6 km', '29.6 km', '56.0 km', '53.2 km', 0, '46.0 km', '32.2 km', '32.5 km', '55.6 km', '36.0 km']",,,,
"['48.2 km', '49.6 km', '21.9 km', '24.7 km', '46.0 km', 0, '16.6 km', '21.1 km', '19.3 km', '10.2 km']",,,,
"['38.2 km', '37.3 km', '27.4 km', '24.6 km', '32.2 km', '16.6 km', 0, '8.9 km', '26.1 km', '7.4 km']",,,,
"['29.9 km', '29.0 km', '31.1 km', '28.3 km', '32.5 km', '21.1 km', '8.9 km', 0, '30.6 km', '11.0 km']",,,,
"['46.4 km', '47.8 km', '3.6 km', '6.4 km', '55.5 km', '19.4 km', '27.0 km', '30.6 km', 0, '19.7 km']",,,,
"['40.1 km', '41.5 km', '20.2 km', '17.5 km', '36.6 km', '10.1 km', '8.1 km', '11.7 km', '19.6 km', 0]",,,,
