name,latitude,longitude,rating,rating_count
屋賀爺燒肉(台東總店)台東美食 台東美食推薦 台東餐廳 台東燒肉 台東宵夜 台東必吃 台東restaurant,22.7563981,121.152473,4.9,6781
Wow's Pangcah,22.753077,121.147256,4.6,707
Alamu kitchen 阿拉慕廚房,22.7494607,121.1517242,4.5,681
MAHI MAHI TODAY,22.7722551,121.1317454,4.4,2748
Taidong Shi Fang Vegan Restaurant,22.7567772,121.1509737,4.4,523
Month of Autumn Restaurant,22.7201968,120.6620089,4.3,2284
Taitung Fukui Japanese Restaurant,22.7490633,121.1430985,4.3,1117
花喬海鮮蒸氣火鍋-台東美食 台東海鮮 台東餐廳 台東火鍋 台東必吃 台東restaurant,22.7513153,121.1323403,4.3,1178
Piaoxiang Kezhan Restaurant,22.623069,120.5571923,4.2,880
He Nan Wei• Beef Noodle Restaurant,22.7642394,121.1354392,4.1,1535
,,,,
,,,,
"[0, '0.8 km', '1.2 km', '2.8 km', '0.2 km', '168 km', '1.8 km', '2.7 km', '148 km', '2.2 km']",,,,
"['0.8 km', 0, '0.6 km', '2.8 km', '0.7 km', '167 km', '1.3 km', '2.2 km', '147 km', '1.7 km']",,,,
"['1.2 km', '0.6 km', 0, '3.4 km', '1.1 km', '167 km', '1.3 km', '2.8 km', '147 km', '2.3 km']",,,,
"['2.8 km', '2.8 km', '3.4 km', 0, '2.7 km', '168 km', '3.4 km', '3.4 km', '148 km', '1.3 km']",,,,
"['0.2 km', '0.8 km', '1.4 km', '2.7 km', 0, '168 km', '1.9 km', '2.6 km', '148 km', '2.1 km']",,,,
"['168 km', '167 km', '167 km', '168 km', '168 km', 0, '166 km', '165 km', '19.3 km', '167 km']",,,,
"['2.6 km', '2.0 km', '2.3 km', '3.4 km', '2.4 km', '166 km', 0, '1.9 km', '146 km', '2.1 km']",,,,
"['2.7 km', '2.2 km', '2.8 km', '3.4 km', '2.6 km', '165 km', '1.9 km', 0, '145 km', '2.0 km']",,,,
"['148 km', '148 km', '147 km', '148 km', '148 km', '21.0 km', '147 km', '145 km', 0, '147 km']",,,,
"['2.3 km', '1.7 km', '2.3 km', '1.3 km', '2.1 km', '168 km', '2.1 km', '2.0 km', '148 km', 0]",,,,
