name,latitude,longitude,rating,rating_count
Sky and Ocean Merge into One Vastness (South-link Line),22.5723708,120.9856386,4.5,430
Jinzun Lulian Island,22.9495834,121.2871816,4.5,640
郡界遊憩區,22.8569939,121.198542,4.5,362
Wutai Scenic Area,22.7446735,120.7322621,4.5,3068
1314號的藍,22.3373042,120.897632,4.5,600
鐵道藝術村 ,22.75206085,121.1476963,4.3,14124
Taimali Daylily Mountain Recreational Agriculture,22.643066,120.9526277,4.4,690
大鵬灣國際休閒特區,22.4543508,120.4791105,4.4,4595
Dajin Waterfall,22.8607267,120.6454623,4.4,2267
會走路的樹-白榕樹,22.8841688,121.1612928,4.4,1362
龍田綠色隧道,22.908676,121.1209496,4.5,387
,,,,
,,,,
"[0, '59.1 km', '43.8 km', '152 km', '29.0 km', '29.5 km', '21.3 km', '102 km', '146 km', '48.0 km']",,,,
"['64.9 km', 0, '21.0 km', '217 km', '93.9 km', '36.9 km', '72.5 km', '167 km', '211 km', '40.4 km']",,,,
"['43.9 km', '15.2 km', 0, '196 km', '72.9 km', '15.9 km', '51.5 km', '146 km', '190 km', '31.6 km']",,,,
"['153 km', '212 km', '196 km', 0, '124 km', '182 km', '174 km', '66.8 km', '38.2 km', '201 km']",,,,
"['29.0 km', '88.1 km', '72.8 km', '124 km', 0, '58.5 km', '50.3 km', '73.3 km', '118 km', '77.0 km']",,,,
"['29.5 km', '31.3 km', '16.1 km', '182 km', '58.5 km', 0, '37.1 km', '131 km', '176 km', '25.6 km']",,,,
"['21.3 km', '66.8 km', '51.6 km', '174 km', '50.3 km', '37.2 km', 0, '123 km', '168 km', '55.7 km']",,,,
"['99.3 km', '158 km', '143 km', '64.5 km', '70.9 km', '129 km', '121 km', 0, '58.3 km', '147 km']",,,,
"['146 km', '205 km', '190 km', '38.2 km', '118 km', '176 km', '168 km', '60.6 km', 0, '194 km']",,,,
"['48.0 km', '47.0 km', '31.8 km', '201 km', '77.1 km', '24.9 km', '55.7 km', '150 km', '194 km', 0]",,,,
