name,latitude,longitude,rating,rating_count
八通關古道東段登山口,23.3289391,121.2348658,4.7,587
Kuaigu,23.2571036,120.9305415,4.6,387
East Coast National Scenic Area,23.0201614,121.3245523,4.5,14062
Jinzun Lulian Island,22.9495834,121.2871816,4.5,640
郡界遊憩區,22.8569939,121.198542,4.5,362
Sanxiantai Arch Bridge,23.12367,121.4129019,4.5,7796
六十石山金針花海,23.2209221,121.31118,4.5,5841
Wutai Scenic Area,22.7446735,120.7322621,4.5,3068
初鹿牧場,22.86591249,121.1087257,4.1,6971
鹿野高台,22.91664507,121.1216767,4.5,24748
,,,,
,,,,
"[0, '101 km', '65.6 km', '86.5 km', '89.3 km', '51.7 km', '23.2 km', '261 km', '71.1 km', '62.1 km']",,,,
"['101 km', 0, '121 km', '140 km', '125 km', '125 km', '90.2 km', '128 km', '99.8 km', '90.8 km']",,,,
"['65.7 km', '121 km', 0, '21.8 km', '24.6 km', '16.5 km', '60.6 km', '221 km', '57.2 km', '67.4 km']",,,,
"['74.7 km', '122 km', '10.0 km', 0, '21.0 km', '25.5 km', '69.6 km', '217 km', '53.5 km', '63.7 km']",,,,
"['89.3 km', '125 km', '24.6 km', '15.2 km', 0, '40.1 km', '84.2 km', '196 km', '32.5 km', '42.7 km']",,,,
"['51.6 km', '124 km', '16.3 km', '37.1 km', '40.0 km', 0, '46.5 km', '236 km', '72.5 km', '85.4 km']",,,,
"['22.8 km', '90.1 km', '60.2 km', '81.0 km', '83.8 km', '46.2 km', 0, '250 km', '60.0 km', '51.1 km']",,,,
"['261 km', '128 km', '221 km', '212 km', '196 km', '236 km', '250 km', 0, '194 km', '204 km']",,,,
"['71.0 km', '99.8 km', '57.2 km', '47.8 km', '32.6 km', '72.7 km', '60.0 km', '194 km', 0, '14.2 km']",,,,
"['61.5 km', '90.2 km', '66.8 km', '57.4 km', '42.2 km', '82.3 km', '50.5 km', '204 km', '13.6 km', 0]",,,,
