"name","latitude","longitude","rating","rating_count"
"Hsinchu Touqianxi Bridge Left Bank Cherry Blossom Trail","24.8205635","120.9931919","4.6","141"
"香山阿母文創館","24.7734308","120.9164266","4.6","141"
"Fēngqíng Wetland Coast","24.7787535","120.9144783","4.5","613"
"17公里海岸自行車道","24.849353","120.928158","4.5","327"
"靜心湖","24.7796338","121.0125696","4.4","2465"
"交清小徑","24.7906632","120.9957147","4.4","161"
"天公壇公園k","24.799498","120.957721","4.4","3201"
"Shuizhen Forest Park","24.81006499999999","121.0356464","4.4","3793"
"新竹公園","24.8009158","120.9773254","4.4","6984"
"竹塹城東門 迎曦門","24.8041894","120.9704208","4.3","228"
"19 Hectares Grassland","24.7726541","120.9254811","4.3","8508"
