"name","latitude","longitude","rating","rating_count"
"獅潭幸福牛奶草莓園","24.4694955","120.8865612","4.7","186"
"蓮臺山","24.4657084","120.9052015","4.6","197"
"後龍好望角停車場","24.599936","120.731986","4.5","133"
"後龍好望角風景區","24.601974","120.731191","4.4","15057"
"Green Fantasy Forest","24.497994","120.768682","4.4","1792"
"協雲宮櫻花步道","24.4957386","120.8771225","4.4","1642"
"苗栗黃金小鎮","24.8833811","67.1648709","0","0"
"過港隧道","24.5993889","120.7252208","4.3","2005"
"後龍溪河濱公園","24.5716029","120.842288","4.3","443"
"鳴鳳山遊憩區","24.5504867","120.9052924","4.2","183"
"攻維敘隧道","24.5543568","120.8109621","4.2","4027"

