"name","latitude","longitude","rating","rating_count"
"琉璃仙境休閒農場","23.9417999","120.5816969","4.7","1476"
"中興新村兒童公園","23.9492224","120.6940399","4.5","1791"
"南投燈會水舞廣場","23.9258732","120.682934","4.5","804"
"省府日常散策","23.9387956","120.6999278","4.5","195"
"中興新村親情公園","23.9561989","120.6867729","4.4","435"
"阿罩霧步道觀景平臺","24.0583187","120.7228515","4.4","851"
"Minsheng House of Microhistory","24.0394172","120.6926991","4.4","928"
"Shetou Doushan Shrine","23.8829298","120.6049983","4.4","115"
"中興新村拱門","23.9565144","120.6855628","4.3","1401"
"Hawk-Watching Terrace","23.896105","120.633138","4.3","172"
"Wufengquazhaowu Park","24.0593847","120.6998358","4.3","410"
