"name","latitude","longitude","rating","rating_count"
"DongFeng Bikeway","24.2760232","120.7787988","4.6","3042"
"舊山線鐵道(大甲溪花樑鋼橋)","24.2802182","120.7458043","4.6","1361"
"花梁鋼橋","24.2788533","120.7460332","4.5","183"
"潭雅神綠步道","24.2474401","120.6746303","4.5","458"
"后豐鐵馬道","24.271924","120.7402111","4.5","8992"
"麗寶落羽松大道","24.3221691","120.6902583","4.5","499"
"大坑八號登山步道","24.1911689","120.7281687","4.4","395"
"約客厚禮築夢手創館","24.3100553","120.705433","4.4","3152"
"紙箱王創意園區 台中市","24.1781792","120.7390568","4.3","9079"
"Tanya Shen Green Bikeway","24.2327778","120.6944444","4.3","3867"


